,Name,Role,Country,Status,Base_Price(Lakh),Final_Price(Lakh),Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Balls,Wkts,BBI,BBM,Econ,4w,5w
0,Arjun Tendulkar,Bowling Allrounder , India,SOLD,20,20,MI,2,2,1,2,3,3.00,7,42.85,0,0,0,0,0,0,2,1,3,3,7,0,0
1,Akash Singh,Bowler , India,SOLD,20,20,RR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Pawan Negi,Bowling Allrounder , India,SOLD,50,50,KKR,119,83,32,83,41*,15.74,657,122.22,0,0,56,33,40,0,119,32,803,41*,657,0,0
3,Venkatesh Iyer,Bowler , India,SOLD,20,20,KKR,38,32,12,32,88*,36.20,526,137.64,0,2,63,28,17,0,38,12,724,88*,526,0,2
4,Hanuma Vihari,Batting Allrounder , India,UNSOLD,100,-,-,74,73,8,73,81,20.84,1206,112.35,0,4,119,31,29,2,74,8,1355,81,1206,0,4
5,Jason Behrendorff,Bowler , Australia,UNSOLD,100,-,-,79,17,11,17,26,14.50,80,108.75,0,0,7,1,27,0,79,11,87,26,80,0,0
6,Gurkeerat Singh Mann,Batsman , India,UNSOLD,50,-,-,113,95,20,95,93*,24.38,1478,123.74,0,7,180,63,55,3,113,20,1829,93*,1478,0,7
7,Ben Cutting,Bowling Allrounder , Australia,SOLD,75,75,KKR,171,143,39,143,81*,22.76,1589,149.02,0,4,148,153,71,0,171,39,2368,81*,1589,0,4
8,Rassie van der Dussen,Batsman , South Africa,UNSOLD,50,-,-,124,118,20,118,112*,38.14,2856,130.88,3,25,260,167,37,0,124,20,3738,112*,2856,3,25
9,Corey Anderson,Batting Allrounder , New Zealand,UNSOLD,75,-,-,152,133,24,133,95*,25.41,2002,138.36,0,10,172,167,52,0,152,24,2770,95*,2002,0,10
10,Vishnu Solanki,WK-Batsman , India,UNSOLD,20,-,-,41,34,11,34,71*,35.08,626,128.91,0,4,62,33,20,1,41,11,807,71*,626,0,4
11,Hari Nishanth,Batsman , India,SOLD,20,20,CSK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Harbhajan Singh,Bowler , India,SOLD,200,200,KKR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Mujeeb Ur Rahman,Bowler , Afghanistan,SOLD,100,100,SRH,136,38,21,38,27,9.47,158,101.89,0,0,13,5,30,0,136,21,161,27,158,0,0
14,Sam Billings,WK-Batsman , England,SOLD,200,200,DC,187,175,26,175,95*,23.67,2692,131.01,0,21,297,105,107,17,187,26,3527,95*,2692,0,21
15,Kedar Jadhav,Batting Allrounder , India,SOLD,200,200,SRH,143,126,31,126,84*,24.24,1785,129.01,0,12,207,78,50,7,143,31,2303,84*,1785,0,12
16,Karun Nair,Batsman , India,SOLD,50,50,KKR,138,124,14,124,111,24.83,2078,131.47,2,14,268,93,54,0,138,14,2732,111,2078,2,14
17,Saurabh Kumar,Bowling Allrounder , India,SOLD,20,20,PBKS,28,12,3,12,33,14.11,95,133.68,0,0,11,7,12,0,28,3,127,33,95,0,0
18,Pratyush Singh,Bowler , India,UNSOLD,20,-,-,20,18,2,18,39,7.93,149,85.23,0,0,17,0,6,0,20,2,127,39,149,0,0
19,Marco Jansen,Bowling Allrounder , South Africa,SOLD,20,20,MI,10,6,1,6,47,14.20,57,124.56,0,0,4,4,4,0,10,1,71,47,57,0,0
20,Tim David,Batsman , Singapore,UNSOLD,20,-,-,40,37,10,37,92*,35.03,614,154.07,0,5,75,45,23,0,40,10,946,92*,614,0,5
21,Gerald Coetzee,Bowler , South Africa,UNSOLD,20,-,-,8,7,0,7,9,3.42,40,60.00,0,0,1,0,2,0,8,0,24,9,40,0,0
22,Harsh Tyagi,Batting Allrounder , India,UNSOLD,20,-,-,22,15,9,15,38*,36.33,167,130.53,0,0,16,12,3,0,22,9,218,38*,167,0,0
23,Jack Wildermuth,Bowling Allrounder , Australia,UNSOLD,50,-,-,51,28,3,28,31,9.40,194,121.13,0,0,7,16,10,0,51,3,235,31,194,0,0
24,Bhagath Verma,Bowling Allrounder , India,SOLD,20,20,CSK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Ajay Dev Goud,Bowler , India,UNSOLD,20,-,-,3,1,1,1,0*,-,0,-,0,0,0,0,0,0,3,1,0,0*,0,0,0
26,Yudhvir Singh,Bowler , India,SOLD,20,20,MI,6,4,0,4,10,6.00,14,171.42,0,0,2,2,4,0,6,0,24,10,14,0,0
27,Chaitanya Bishnoi,Batting Allrounder , India,UNSOLD,20,-,-,37,36,6,36,65*,27.20,692,117.91,0,5,80,21,17,0,37,6,816,65*,692,0,5
28,George Linde,Batting Allrounder , South Africa,UNSOLD,50,-,-,89,66,21,66,52*,18.53,594,140.40,0,2,46,37,22,0,89,21,834,52*,594,0,2
29,Isuru Udana,Bowling Allrounder , Sri Lanka,UNSOLD,50,-,-,158,99,35,99,84*,16.10,788,130.83,0,1,58,55,59,0,158,35,1031,84*,788,0,1
30,Chris Green,Bowling Allrounder , Australia,UNSOLD,30,-,-,108,66,23,66,49,13.20,461,123.21,0,0,41,15,59,0,108,23,568,49,461,0,0
31,Reece Topley,Bowler , England,UNSOLD,50,-,-,85,15,10,15,5*,4.40,39,56.41,0,0,2,0,19,0,85,10,22,5*,39,0,0
32,Wayne Parnell,Bowling Allrounder , South Africa,UNSOLD,50,-,-,207,121,46,121,99,19.48,1181,123.70,0,4,121,51,36,0,207,46,1461,99,1181,0,4
33,James Neesham,Batting Allrounder , New Zealand,SOLD,50,50,MI,143,111,33,111,59*,25.65,1442,138.76,0,4,144,92,47,0,143,33,2001,59*,1442,0,4
34,Scott Kuggeleijn,Batting Allrounder , New Zealand,UNSOLD,50,-,-,120,76,35,76,41,17.78,554,131.58,0,0,44,31,48,0,120,35,729,41,554,0,0
35,Kuldip Yadav,Bowler , India,SOLD,20,20,RR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
